=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
61e8e4839199bfb91fd62688f375220d3ebf01068237d8f340248a10139de874
0
JODA: 100.227 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
2e45dda4ea3ce5dbc9095477d3335f7bde1ae4335ce8e626e1509e33b85a9073
2021-10-20T01:43:04.782+0000	connected to: mongodb://localhost/
2021-10-20T01:45:52.782+0000	[#.......................] benchmark.Twitter	2.82GB/49.1GB (5.7%)
2021-10-20T01:45:55.782+0000	[#.......................] benchmark.Twitter	2.87GB/49.1GB (5.8%)
2021-10-20T01:45:58.783+0000	[#.......................] benchmark.Twitter	2.92GB/49.1GB (5.9%)
2021-10-20T01:46:01.782+0000	[#.......................] benchmark.Twitter	2.97GB/49.1GB (6.0%)
2021-10-20T01:46:04.782+0000	[#.......................] benchmark.Twitter	3.02GB/49.1GB (6.2%)
2021-10-20T01:46:07.782+0000	[#.......................] benchmark.Twitter	3.08GB/49.1GB (6.3%)
2021-10-20T01:46:10.783+0000	[#.......................] benchmark.Twitter	3.13GB/49.1GB (6.4%)
2021-10-20T01:46:13.782+0000	[#.......................] benchmark.Twitter	3.18GB/49.1GB (6.5%)
2021-10-20T01:46:16.782+0000	[#.......................] benchmark.Twitter	3.23GB/49.1GB (6.6%)
2021-10-20T01:46:19.782+0000	[#.......................] benchmark.Twitter	3.29GB/49.1GB (6.7%)
2021-10-20T01:46:22.782+0000	[#.......................] benchmark.Twitter	3.34GB/49.1GB (6.8%)
2021-10-20T01:46:25.782+0000	[#.......................] benchmark.Twitter	3.39GB/49.1GB (6.9%)
2021-10-20T01:46:28.782+0000	[#.......................] benchmark.Twitter	3.44GB/49.1GB (7.0%)
2021-10-20T01:46:31.782+0000	[#.......................] benchmark.Twitter	3.49GB/49.1GB (7.1%)
2021-10-20T01:46:34.782+0000	[#.......................] benchmark.Twitter	3.54GB/49.1GB (7.2%)
2021-10-20T01:46:37.783+0000	[#.......................] benchmark.Twitter	3.60GB/49.1GB (7.3%)
2021-10-20T01:46:40.782+0000	[#.......................] benchmark.Twitter	3.65GB/49.1GB (7.4%)
2021-10-20T01:46:43.794+0000	[#.......................] benchmark.Twitter	3.70GB/49.1GB (7.5%)
2021-10-20T01:46:46.783+0000	[#.......................] benchmark.Twitter	3.75GB/49.1GB (7.6%)
2021-10-20T01:46:49.782+0000	[#.......................] benchmark.Twitter	3.80GB/49.1GB (7.7%)
2021-10-20T01:46:52.783+0000	[#.......................] benchmark.Twitter	3.85GB/49.1GB (7.8%)
2021-10-20T01:46:55.782+0000	[#.......................] benchmark.Twitter	3.91GB/49.1GB (8.0%)
2021-10-20T01:46:58.783+0000	[#.......................] benchmark.Twitter	3.96GB/49.1GB (8.1%)
2021-10-20T01:47:01.782+0000	[#.......................] benchmark.Twitter	4.01GB/49.1GB (8.2%)
2021-10-20T01:47:04.782+0000	[#.......................] benchmark.Twitter	4.06GB/49.1GB (8.3%)
2021-10-20T01:47:07.782+0000	[##......................] benchmark.Twitter	4.11GB/49.1GB (8.4%)
2021-10-20T01:47:10.782+0000	[##......................] benchmark.Twitter	4.17GB/49.1GB (8.5%)
2021-10-20T01:47:13.783+0000	[##......................] benchmark.Twitter	4.22GB/49.1GB (8.6%)
2021-10-20T01:47:16.782+0000	[##......................] benchmark.Twitter	4.27GB/49.1GB (8.7%)
2021-10-20T01:47:19.782+0000	[##......................] benchmark.Twitter	4.33GB/49.1GB (8.8%)
2021-10-20T01:47:22.782+0000	[##......................] benchmark.Twitter	4.38GB/49.1GB (8.9%)
2021-10-20T01:47:25.783+0000	[##......................] benchmark.Twitter	4.43GB/49.1GB (9.0%)
2021-10-20T01:47:28.783+0000	[##......................] benchmark.Twitter	4.48GB/49.1GB (9.1%)
2021-10-20T01:47:31.782+0000	[##......................] benchmark.Twitter	4.53GB/49.1GB (9.2%)
2021-10-20T01:47:34.782+0000	[##......................] benchmark.Twitter	4.58GB/49.1GB (9.3%)
2021-10-20T01:47:37.782+0000	[##......................] benchmark.Twitter	4.64GB/49.1GB (9.4%)
2021-10-20T01:47:40.782+0000	[##......................] benchmark.Twitter	4.69GB/49.1GB (9.5%)
2021-10-20T01:47:43.782+0000	[##......................] benchmark.Twitter	4.74GB/49.1GB (9.6%)
2021-10-20T01:47:46.783+0000	[##......................] benchmark.Twitter	4.79GB/49.1GB (9.7%)
2021-10-20T01:47:49.782+0000	[##......................] benchmark.Twitter	4.84GB/49.1GB (9.9%)
2021-10-20T01:47:52.783+0000	[##......................] benchmark.Twitter	4.89GB/49.1GB (10.0%)
2021-10-20T01:47:55.782+0000	[##......................] benchmark.Twitter	4.95GB/49.1GB (10.1%)
2021-10-20T01:47:58.782+0000	[##......................] benchmark.Twitter	5.00GB/49.1GB (10.2%)
2021-10-20T01:48:01.782+0000	[##......................] benchmark.Twitter	5.05GB/49.1GB (10.3%)
2021-10-20T01:48:04.782+0000	[##......................] benchmark.Twitter	5.10GB/49.1GB (10.4%)
2021-10-20T01:48:07.782+0000	[##......................] benchmark.Twitter	5.15GB/49.1GB (10.5%)
2021-10-20T01:48:10.782+0000	[##......................] benchmark.Twitter	5.20GB/49.1GB (10.6%)
2021-10-20T01:48:13.783+0000	[##......................] benchmark.Twitter	5.25GB/49.1GB (10.7%)
2021-10-20T01:48:16.782+0000	[##......................] benchmark.Twitter	5.30GB/49.1GB (10.8%)
2021-10-20T01:48:19.782+0000	[##......................] benchmark.Twitter	5.34GB/49.1GB (10.9%)
2021-10-20T01:48:22.783+0000	[##......................] benchmark.Twitter	5.39GB/49.1GB (11.0%)
2021-10-20T01:48:25.783+0000	[##......................] benchmark.Twitter	5.43GB/49.1GB (11.1%)
2021-10-20T01:48:28.783+0000	[##......................] benchmark.Twitter	5.48GB/49.1GB (11.2%)
2021-10-20T01:48:31.783+0000	[##......................] benchmark.Twitter	5.53GB/49.1GB (11.2%)
2021-10-20T01:48:34.782+0000	[##......................] benchmark.Twitter	5.57GB/49.1GB (11.3%)
2021-10-20T01:48:37.782+0000	[##......................] benchmark.Twitter	5.62GB/49.1GB (11.4%)
2021-10-20T01:48:40.782+0000	[##......................] benchmark.Twitter	5.66GB/49.1GB (11.5%)
2021-10-20T01:48:43.782+0000	[##......................] benchmark.Twitter	5.70GB/49.1GB (11.6%)
2021-10-20T01:48:46.782+0000	[##......................] benchmark.Twitter	5.75GB/49.1GB (11.7%)
2021-10-20T01:48:49.782+0000	[##......................] benchmark.Twitter	5.79GB/49.1GB (11.8%)
2021-10-20T01:48:52.782+0000	[##......................] benchmark.Twitter	5.83GB/49.1GB (11.9%)
