=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
62e4e81bdc37dd58046af5a16b6630bda929e4250044a66ad6c52059f5a11052
0
JODA: 114.895 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
22356c2dc5e1092ad059a2b22eb5270047818581862701dfa1863d686b3248f3
2021-10-19T22:19:49.998+0000	connected to: mongodb://localhost/
2021-10-19T22:22:37.998+0000	[#.......................] benchmark.Twitter	2.89GB/49.1GB (5.9%)
2021-10-19T22:22:40.999+0000	[#.......................] benchmark.Twitter	2.94GB/49.1GB (6.0%)
2021-10-19T22:22:43.999+0000	[#.......................] benchmark.Twitter	2.99GB/49.1GB (6.1%)
2021-10-19T22:22:46.999+0000	[#.......................] benchmark.Twitter	3.05GB/49.1GB (6.2%)
2021-10-19T22:22:49.999+0000	[#.......................] benchmark.Twitter	3.10GB/49.1GB (6.3%)
2021-10-19T22:22:52.999+0000	[#.......................] benchmark.Twitter	3.15GB/49.1GB (6.4%)
2021-10-19T22:22:55.998+0000	[#.......................] benchmark.Twitter	3.20GB/49.1GB (6.5%)
2021-10-19T22:22:58.999+0000	[#.......................] benchmark.Twitter	3.26GB/49.1GB (6.6%)
2021-10-19T22:23:01.999+0000	[#.......................] benchmark.Twitter	3.31GB/49.1GB (6.7%)
2021-10-19T22:23:04.999+0000	[#.......................] benchmark.Twitter	3.37GB/49.1GB (6.9%)
2021-10-19T22:23:07.998+0000	[#.......................] benchmark.Twitter	3.42GB/49.1GB (7.0%)
2021-10-19T22:23:10.999+0000	[#.......................] benchmark.Twitter	3.47GB/49.1GB (7.1%)
2021-10-19T22:23:13.999+0000	[#.......................] benchmark.Twitter	3.52GB/49.1GB (7.2%)
2021-10-19T22:23:16.998+0000	[#.......................] benchmark.Twitter	3.58GB/49.1GB (7.3%)
2021-10-19T22:23:19.998+0000	[#.......................] benchmark.Twitter	3.63GB/49.1GB (7.4%)
2021-10-19T22:23:22.998+0000	[#.......................] benchmark.Twitter	3.68GB/49.1GB (7.5%)
2021-10-19T22:23:25.999+0000	[#.......................] benchmark.Twitter	3.74GB/49.1GB (7.6%)
2021-10-19T22:23:28.999+0000	[#.......................] benchmark.Twitter	3.79GB/49.1GB (7.7%)
2021-10-19T22:23:31.999+0000	[#.......................] benchmark.Twitter	3.84GB/49.1GB (7.8%)
2021-10-19T22:23:34.999+0000	[#.......................] benchmark.Twitter	3.89GB/49.1GB (7.9%)
2021-10-19T22:23:37.999+0000	[#.......................] benchmark.Twitter	3.95GB/49.1GB (8.0%)
2021-10-19T22:23:40.998+0000	[#.......................] benchmark.Twitter	4.00GB/49.1GB (8.1%)
2021-10-19T22:23:43.999+0000	[#.......................] benchmark.Twitter	4.05GB/49.1GB (8.3%)
2021-10-19T22:23:46.999+0000	[##......................] benchmark.Twitter	4.11GB/49.1GB (8.4%)
2021-10-19T22:23:49.999+0000	[##......................] benchmark.Twitter	4.16GB/49.1GB (8.5%)
2021-10-19T22:23:52.999+0000	[##......................] benchmark.Twitter	4.21GB/49.1GB (8.6%)
2021-10-19T22:23:55.999+0000	[##......................] benchmark.Twitter	4.27GB/49.1GB (8.7%)
2021-10-19T22:23:58.999+0000	[##......................] benchmark.Twitter	4.32GB/49.1GB (8.8%)
2021-10-19T22:24:01.999+0000	[##......................] benchmark.Twitter	4.38GB/49.1GB (8.9%)
2021-10-19T22:24:04.998+0000	[##......................] benchmark.Twitter	4.43GB/49.1GB (9.0%)
2021-10-19T22:24:07.999+0000	[##......................] benchmark.Twitter	4.49GB/49.1GB (9.1%)
2021-10-19T22:24:10.998+0000	[##......................] benchmark.Twitter	4.54GB/49.1GB (9.2%)
2021-10-19T22:24:14.000+0000	[##......................] benchmark.Twitter	4.59GB/49.1GB (9.3%)
2021-10-19T22:24:16.998+0000	[##......................] benchmark.Twitter	4.64GB/49.1GB (9.5%)
2021-10-19T22:24:19.999+0000	[##......................] benchmark.Twitter	4.70GB/49.1GB (9.6%)
2021-10-19T22:24:22.999+0000	[##......................] benchmark.Twitter	4.75GB/49.1GB (9.7%)
2021-10-19T22:24:25.999+0000	[##......................] benchmark.Twitter	4.80GB/49.1GB (9.8%)
2021-10-19T22:24:28.998+0000	[##......................] benchmark.Twitter	4.86GB/49.1GB (9.9%)
2021-10-19T22:24:31.999+0000	[##......................] benchmark.Twitter	4.91GB/49.1GB (10.0%)
2021-10-19T22:24:34.999+0000	[##......................] benchmark.Twitter	4.96GB/49.1GB (10.1%)
2021-10-19T22:24:37.999+0000	[##......................] benchmark.Twitter	5.02GB/49.1GB (10.2%)
