=== Found JODA query file, executing JODA queries ===
= File:'Twitter.json' =
0.12.2: Pulling from nicotin/joda
Digest: sha256:f5e9052c3cc1af5f34dcaa9442d46f2baf40a6a1b6fc3a0d59558d49b5ec8fcf
Status: Image is up to date for nicotin/joda:0.12.2
447fb8736d723dbc707903e03c26a18ffe50f78e61419e1f8f9cf43a973d9c80
0
JODA: 96.2898 s
joda-benchmark
=== Found MongoDB query file, executing MongoDB queries ===
= File:'Twitter.json' =
5.0.3-focal: Pulling from library/mongo
Digest: sha256:f7c401402aa3e689fc42c7109247ab2d5a3e3b4b8a3ace4c2bf7a5fc74ca4917
Status: Image is up to date for mongo:5.0.3-focal
ba2c32c2d640dec5d3ae62d162bb43a5f2c5bbfebf42076af2011a8c16fa3daa
2021-11-01T17:28:43.356+0000	connected to: mongodb://localhost/
2021-11-01T17:31:31.356+0000	[#.......................] benchmark.Twitter	2.52GB/49.1GB (5.1%)
2021-11-01T17:31:34.356+0000	[#.......................] benchmark.Twitter	2.57GB/49.1GB (5.2%)
2021-11-01T17:31:37.357+0000	[#.......................] benchmark.Twitter	2.62GB/49.1GB (5.3%)
2021-11-01T17:31:40.356+0000	[#.......................] benchmark.Twitter	2.66GB/49.1GB (5.4%)
2021-11-01T17:31:43.356+0000	[#.......................] benchmark.Twitter	2.71GB/49.1GB (5.5%)
2021-11-01T17:31:46.357+0000	[#.......................] benchmark.Twitter	2.76GB/49.1GB (5.6%)
2021-11-01T17:31:49.356+0000	[#.......................] benchmark.Twitter	2.80GB/49.1GB (5.7%)
2021-11-01T17:31:52.357+0000	[#.......................] benchmark.Twitter	2.85GB/49.1GB (5.8%)
2021-11-01T17:31:55.356+0000	[#.......................] benchmark.Twitter	2.90GB/49.1GB (5.9%)
2021-11-01T17:31:58.357+0000	[#.......................] benchmark.Twitter	2.95GB/49.1GB (6.0%)
2021-11-01T17:32:01.361+0000	[#.......................] benchmark.Twitter	2.99GB/49.1GB (6.1%)
2021-11-01T17:32:04.357+0000	[#.......................] benchmark.Twitter	3.04GB/49.1GB (6.2%)
2021-11-01T17:32:07.357+0000	[#.......................] benchmark.Twitter	3.09GB/49.1GB (6.3%)
2021-11-01T17:32:10.357+0000	[#.......................] benchmark.Twitter	3.14GB/49.1GB (6.4%)
2021-11-01T17:32:13.356+0000	[#.......................] benchmark.Twitter	3.19GB/49.1GB (6.5%)
2021-11-01T17:32:16.356+0000	[#.......................] benchmark.Twitter	3.23GB/49.1GB (6.6%)
2021-11-01T17:32:19.357+0000	[#.......................] benchmark.Twitter	3.28GB/49.1GB (6.7%)
2021-11-01T17:32:22.357+0000	[#.......................] benchmark.Twitter	3.33GB/49.1GB (6.8%)
2021-11-01T17:32:25.357+0000	[#.......................] benchmark.Twitter	3.38GB/49.1GB (6.9%)
2021-11-01T17:32:28.357+0000	[#.......................] benchmark.Twitter	3.42GB/49.1GB (7.0%)
2021-11-01T17:32:31.356+0000	[#.......................] benchmark.Twitter	3.47GB/49.1GB (7.1%)
2021-11-01T17:32:34.356+0000	[#.......................] benchmark.Twitter	3.52GB/49.1GB (7.2%)
2021-11-01T17:32:37.356+0000	[#.......................] benchmark.Twitter	3.56GB/49.1GB (7.3%)
2021-11-01T17:32:40.356+0000	[#.......................] benchmark.Twitter	3.61GB/49.1GB (7.4%)
2021-11-01T17:32:43.357+0000	[#.......................] benchmark.Twitter	3.66GB/49.1GB (7.4%)
2021-11-01T17:32:46.356+0000	[#.......................] benchmark.Twitter	3.71GB/49.1GB (7.5%)
2021-11-01T17:32:49.357+0000	[#.......................] benchmark.Twitter	3.75GB/49.1GB (7.6%)
2021-11-01T17:32:52.356+0000	[#.......................] benchmark.Twitter	3.80GB/49.1GB (7.7%)
2021-11-01T17:32:55.357+0000	[#.......................] benchmark.Twitter	3.85GB/49.1GB (7.8%)
2021-11-01T17:32:58.357+0000	[#.......................] benchmark.Twitter	3.90GB/49.1GB (7.9%)
2021-11-01T17:33:01.357+0000	[#.......................] benchmark.Twitter	3.95GB/49.1GB (8.0%)
2021-11-01T17:33:04.356+0000	[#.......................] benchmark.Twitter	4.00GB/49.1GB (8.1%)
2021-11-01T17:33:07.356+0000	[#.......................] benchmark.Twitter	4.04GB/49.1GB (8.2%)
2021-11-01T17:33:10.356+0000	[#.......................] benchmark.Twitter	4.09GB/49.1GB (8.3%)
2021-11-01T17:33:13.356+0000	[##......................] benchmark.Twitter	4.14GB/49.1GB (8.4%)
2021-11-01T17:33:16.356+0000	[##......................] benchmark.Twitter	4.19GB/49.1GB (8.5%)
2021-11-01T17:33:19.357+0000	[##......................] benchmark.Twitter	4.23GB/49.1GB (8.6%)
2021-11-01T17:33:22.356+0000	[##......................] benchmark.Twitter	4.28GB/49.1GB (8.7%)
2021-11-01T17:33:25.356+0000	[##......................] benchmark.Twitter	4.33GB/49.1GB (8.8%)
2021-11-01T17:33:28.357+0000	[##......................] benchmark.Twitter	4.37GB/49.1GB (8.9%)
2021-11-01T17:33:31.357+0000	[##......................] benchmark.Twitter	4.42GB/49.1GB (9.0%)
2021-11-01T17:33:34.356+0000	[##......................] benchmark.Twitter	4.47GB/49.1GB (9.1%)
2021-11-01T17:33:37.356+0000	[##......................] benchmark.Twitter	4.51GB/49.1GB (9.2%)
2021-11-01T17:33:40.357+0000	[##......................] benchmark.Twitter	4.56GB/49.1GB (9.3%)
2021-11-01T17:33:43.356+0000	[##......................] benchmark.Twitter	4.61GB/49.1GB (9.4%)
2021-11-01T17:33:46.357+0000	[##......................] benchmark.Twitter	4.66GB/49.1GB (9.5%)
2021-11-01T17:33:49.357+0000	[##......................] benchmark.Twitter	4.70GB/49.1GB (9.6%)
2021-11-01T17:33:52.356+0000	[##......................] benchmark.Twitter	4.75GB/49.1GB (9.7%)
2021-11-01T17:33:55.356+0000	[##......................] benchmark.Twitter	4.80GB/49.1GB (9.8%)
2021-11-01T17:33:58.357+0000	[##......................] benchmark.Twitter	4.85GB/49.1GB (9.9%)
2021-11-01T17:34:01.358+0000	[##......................] benchmark.Twitter	4.90GB/49.1GB (10.0%)
2021-11-01T17:34:04.357+0000	[##......................] benchmark.Twitter	4.95GB/49.1GB (10.1%)
2021-11-01T17:34:07.356+0000	[##......................] benchmark.Twitter	4.99GB/49.1GB (10.2%)
2021-11-01T17:34:10.357+0000	[##......................] benchmark.Twitter	5.04GB/49.1GB (10.3%)
2021-11-01T17:34:13.356+0000	[##......................] benchmark.Twitter	5.09GB/49.1GB (10.4%)
2021-11-01T17:34:16.356+0000	[##......................] benchmark.Twitter	5.14GB/49.1GB (10.5%)
2021-11-01T17:34:19.356+0000	[##......................] benchmark.Twitter	5.18GB/49.1GB (10.5%)
2021-11-01T17:34:22.357+0000	[##......................] benchmark.Twitter	5.23GB/49.1GB (10.6%)
2021-11-01T17:34:25.357+0000	[##......................] benchmark.Twitter	5.27GB/49.1GB (10.7%)
2021-11-01T17:34:28.356+0000	[##......................] benchmark.Twitter	5.31GB/49.1GB (10.8%)
2021-11-01T17:34:31.356+0000	[##......................] benchmark.Twitter	5.35GB/49.1GB (10.9%)
2021-11-01T17:34:34.357+0000	[##......................] benchmark.Twitter	5.39GB/49.1GB (11.0%)
2021-11-01T17:34:37.356+0000	[##......................] benchmark.Twitter	5.42GB/49.1GB (11.0%)
2021-11-01T17:34:40.358+0000	[##......................] benchmark.Twitter	5.47GB/49.1GB (11.1%)
2021-11-01T17:34:43.357+0000	[##......................] benchmark.Twitter	5.51GB/49.1GB (11.2%)
2021-11-01T17:34:46.356+0000	[##......................] benchmark.Twitter	5.55GB/49.1GB (11.3%)
